compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
635728-49-3,547.2352215239999,2.3753,140.42000000000002,3,8,0,11,4,2,38,0.5185185185185185,1,0.36442311667248134
63659-19-8,308.22202024009,1.3672000000000006,55.30000000000001,2,3,1,11,2,1,22,0.6666666666666666,1,0.6071278267796754
64-75-5,444.15326572799995,-2.829199999999995,185.64999999999998,6,8,0,2,4,1,32,0.4090909090909091,1,0.2635113402155864
64-77-7,269.09653698391,2.567120000000001,77.34,1,3,-1,5,1,1,18,0.4166666666666667,1,0.8343820026665795
641571-10-0,529.1837929840001,6.355840000000005,97.62,2,7,0,6,5,5,39,0.10714285714285714,0,0.26585982163254196
64228-81-5,928.50742858418,8.06550000000001,126.44000000000004,0,12,2,24,6,4,67,0.5094339622641509,3,0.038349396136230826
64461-82-1,253.01889393599998,1.525,62.2,2,4,0,1,3,2,16,0.2222222222222222,0,0.8091236659798766
645-05-6,210.15929457599998,0.0696000000000001,48.39000000000001,0,6,0,3,1,1,15,0.6666666666666666,0,0.7033804434333938
64872-77-1,411.02507903609,6.056100000000003,19.07,0,2,1,7,3,3,25,0.21052631578947367,1,0.43177415234328587
6493-05-6,278.13789043599996,0.19300000000000006,78.89,0,7,0,5,2,2,20,0.5384615384615384,1,0.7314900236053014
65-28-1,282.16008868009,0.9210200000000002,49.47,3,3,1,4,3,2,21,0.23529411764705882,0,0.7814748672396588
65-29-2,510.46182204026996,5.452500000000005,27.69,0,3,3,21,1,1,36,0.8,1,0.2058221894673444
65277-42-1,531.15603718809,3.624900000000002,70.31,0,6,1,7,5,3,36,0.38461538461538464,0,0.4651941170332461
65473-14-5,288.17467612409,3.5679000000000025,4.44,1,0,1,5,3,3,22,0.14285714285714285,0,0.7318946986800634
65928-58-7,311.18852904000005,3.8371800000000027,61.089999999999996,1,3,0,1,4,0,23,0.7,0,0.8001121130289811
66085-59-4,418.174001172,2.9708000000000014,117.0,1,8,0,8,2,1,30,0.42857142857142855,4,0.2963419520142686
66104-23-2,315.18894628409004,2.854000000000001,20.23,2,1,1,4,4,2,22,0.5789473684210527,0,0.8888411196472461
66357-59-3,316.1558144681799,-1.8674999999999957,86.72,3,4,2,9,1,1,21,0.6153846153846154,5,0.16339773492689172
