compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
3717-88-2,furin,Cc1c(-c2ccccc2)oc2c(C(=O)OCC[NH+]3CCCCC3)cccc2c1=O,0.3884,0.44,0.8814,0.6402,0.0235,0.6569,392.18563473209,2.9940200000000017,60.95,1,4,5,4,3,29,0.3333333333333333,0.6784032165726454
133099-07-7,furin,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@@H+](CCc2ccc3c(c2)CCO3)C1,0.999,0.999,0.9989,0.9961,0.6277,0.5638,427.23800465209,2.5404,56.760000000000005,2,2,7,5,3,32,0.3214285714285714,0.6089217233728879
223673-61-8,furin,Nc1nc(CC(=O)Nc2ccc(CC[NH2+]C[C@H](O)c3ccccc3)cc2)cs1,0.6885,0.5175,0.5155,0.559,0.7082,0.7385,397.1692734600901,1.7460000000000009,104.85,4,5,9,3,3,28,0.238095238095238,0.412902267681634
50-28-2,furin,C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,0.2443,0.2911,0.1467,0.2727,0.1772,0.2341,272.177630008,3.609200000000002,40.46,2,2,0,4,1,20,0.6666666666666666,0.757169743555686
641571-10-0,furin,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c[nH+]1,0.9081,0.967,0.7384,0.5891,0.3906,0.5077,530.1910694360901,5.774940000000005,98.87,2,6,6,5,5,39,0.1071428571428571,0.290262022507963
21462-39-5,furin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[N@H+](C)C1,0.7096,0.1231,0.6726,0.7799,0.897,0.8497,425.18714728809,-1.0275999999999967,103.46,5,6,7,2,0,27,0.9444444444444444,0.3342275857333282
169590-42-5,furin,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.9517,0.7206,0.3346,0.8002,0.743,0.7597,381.07588234799994,3.5139200000000006,77.98,1,4,3,3,3,26,0.1176470588235294,0.7541053298167572
53885-35-1,furin,Clc1ccccc1C[N@H+]1CCc2sccc2C1,0.3277,0.4393,0.1787,0.1805,0.8257,0.1205,264.06082458009,2.5427,4.44,1,1,2,3,2,17,0.2857142857142857,0.8504053019619108
191732-72-6,furin,Nc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,0.1332,0.5472,0.6344,0.3316,0.3711,0.069,259.095691276,0.0297999999999998,92.5,2,4,1,3,1,19,0.3076923076923077,0.5494349129687401
144598-75-4,furin,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCC[C@@H]2O,0.2163,0.3986,0.6903,0.217,0.8614,0.937,427.2139953960899,1.6642199999999998,85.59,2,6,4,5,3,31,0.5217391304347826,0.6616473235554238
